bar,final_gpa,lsat,Male
1,2.432700395,143.4830142,0
0,2.411636756,148.9043569,0
1,2.92653564,150.3978199,0
0,3.005875525,138.941309,0
0,4.16442079,151.4921497,0
1,3.150487856,162.5428263,0
0,3.915625139,163.7150669,0
0,3.593509444,150.0900311,0
0,2.641164195,156.0540422,0
1,2.606702274,148.0486917,0
1,3.429393601,142.0013324,0
0,2.380494273,135.4086735,0
1,2.502416903,150.3607363,0
1,3.334680185,163.7674311,0
0,2.280566951,142.725945,0
0,2.313054543,148.1255935,0
0,2.409024379,146.978891,0
0,1.851197469,140.5342907,0
1,2.216736778,132.1702641,0
1,3.270147571,146.2950601,0
0,3.137384411,147.529398,0
0,2.249725546,155.183574,0
0,2.369381117,146.1270281,0
1,2.905889427,149.6681385,0
0,2.199206918,142.9794328,0
1,3.644879936,151.0620112,0
1,3.367176881,156.1143481,0
1,3.077753663,164.316545,0
1,2.078858761,142.2959032,0
1,2.810895746,147.7649444,0
1,3.603736417,153.9299371,0
0,3.038165708,143.745158,0
0,3.802305771,152.3325804,0
0,2.98205804,144.8934341,0
0,2.719507943,156.8657639,0
0,3.195226011,156.9201997,0
1,3.234608495,155.5540108,0
1,3.721543221,157.8939851,0
1,3.10065722,160.1443495,0
0,3.637163682,146.2004723,0
1,3.664158419,159.6638185,0
1,3.577521824,154.3358903,0
0,4.172049669,158.8858348,0
1,1.676280773,143.5992039,0
1,2.515657897,138.6513751,0
1,3.334836153,146.2516229,0
0,3.039772853,137.370304,0
1,2.838339975,153.2302971,0
1,2.494244661,133.2792858,0
1,3.461593041,143.6026353,0
1,3.866371684,160.3500921,0
1,2.962213244,161.0237705,0
0,3.044561169,163.219208,0
1,2.680722554,156.259308,0
1,3.259428276,155.9574449,0
1,2.838973176,147.1626072,0
0,2.608148119,162.8764245,0
0,4.13717109,158.5651643,0
1,2.766557634,139.389283,0
1,3.151271315,146.6439954,0
0,3.15179249,158.7897049,0
1,4.034112875,161.0873352,0
1,3.17812695,152.7810172,0
0,1.99697666,156.0912923,0
1,3.14031966,158.3887795,0
0,2.488122851,146.4819876,0
1,2.903632902,135.2865249,0
0,3.626371832,159.0570158,0
1,2.994206571,147.3057711,0
0,2.022318789,145.4034025,0
1,3.113714365,157.7207229,0
1,3.385277003,157.7224616,0
1,3.73567158,142.1182753,0
0,2.886091443,135.9155906,0
1,2.879554933,151.2593439,0
0,3.555530922,152.5901079,0
1,3.339118373,152.2939295,0
1,3.919656419,149.0290333,0
1,3.192015855,148.1883419,0
0,3.414406982,144.7109369,0
0,2.854549824,145.7412259,0
1,2.570081688,158.2800629,0
0,2.850118668,149.6984143,0
1,3.430181783,148.3954478,0
1,2.512766319,139.0627541,0
1,2.997963444,151.2414475,0
0,2.576701461,139.631242,0
1,2.954605316,157.9207647,0
1,2.749523519,143.1697197,0
1,3.912337701,150.7218596,0
0,3.718100364,147.7574066,0
1,2.501058676,135.0775706,0
1,3.322173378,158.1905391,0
0,2.583103131,148.4712123,0
1,2.556108985,139.7189438,0
0,3.548168382,155.3242559,0
0,2.782141077,152.2880531,0
1,3.489275495,156.8627963,0
1,3.163042372,150.8489341,0
0,3.096967792,145.2585365,0
1,3.713260029,152.0658712,0
1,1.483475167,141.1588957,0
1,2.46989943,152.8876626,0
0,2.892681576,148.481454,0
1,2.365526012,138.2951425,0
0,3.344795773,152.8671498,0
1,2.585342506,151.3962756,0
1,3.582878762,156.1315566,0
1,3.920513937,150.7889542,0
0,3.838317879,166.3321722,0
0,2.754967225,143.2802093,0
0,2.94127507,151.4436263,0
0,2.082011855,134.3686521,0
0,2.471317498,145.3688815,0
0,2.659076604,151.9295237,0
1,3.670241282,155.544858,0
1,2.978302553,156.0499278,0
1,2.14488037,150.5249978,0
1,3.092112021,143.5204315,0
0,2.901090557,146.0881637,0
1,3.342859121,155.2353648,0
1,2.191287676,146.5900352,0
1,2.954685094,159.6293306,0
1,3.044929462,147.0749035,0
1,1.929232582,130.4094203,0
0,2.844921799,148.095396,0
0,2.900352039,146.9904774,0
0,2.786696165,147.7566718,0
0,2.664350126,149.8114783,0
1,0.57615411,136.4923811,0
1,2.912867692,143.6235826,0
0,3.900818133,143.0634642,0
1,2.706351786,141.1231358,0
1,3.385773143,157.0138474,0
0,2.055167701,137.7943277,0
1,1.94786875,153.1294968,0
1,3.152447258,151.1016566,0
1,3.222031811,156.6908761,0
1,3.166137646,142.4503918,0
1,2.145977438,153.7511479,0
0,3.302500128,150.6235146,0
0,2.936499684,151.4575102,0
0,3.504246152,163.8095802,0
0,1.929536296,146.9388078,0
0,3.595423825,159.12808,0
0,3.007917864,146.1051168,0
1,3.940811285,158.5691015,0
0,3.478147648,145.9400924,0
0,2.621309968,159.6454458,0
1,2.951771455,147.218514,0
1,2.780439169,152.3422789,0
0,2.703170553,159.5092301,0
0,2.151046322,152.2613481,0
1,2.622555782,146.4642994,0
1,2.478717953,142.3956667,0
1,2.840307959,147.5931689,0
1,2.426425664,147.3147206,0
0,2.476214083,142.416468,0
0,3.627210594,149.0807502,0
0,3.422285208,147.13878,0
1,3.07134903,152.0816213,0
0,3.897697856,150.6953445,0
0,2.426019227,146.9253872,0
1,3.845530127,153.8310815,0
1,3.78415417,155.9210671,0
0,3.007799355,151.241665,0
1,2.548323393,141.7399363,0
1,3.452581922,145.6308274,0
1,3.062356245,147.5577276,0
1,2.298108917,156.176723,0
1,2.935295638,136.9327942,0
1,1.392613601,148.7223354,0
0,2.066237632,142.0825063,0
0,3.074976096,144.0530646,0
1,2.929810563,150.0149244,0
1,2.857965549,154.84335,0
0,2.840304141,147.8382041,0
0,2.681114745,142.7778793,0
0,3.064061713,154.8078586,0
1,3.655691367,149.7104226,0
0,3.143961892,152.1295388,0
0,3.018488041,149.5048199,0
0,1.86874684,159.7681797,0
1,2.452457823,142.9826711,0
1,4.062022916,159.1833309,0
0,2.7685704,154.520048,0
1,3.9686361,155.591436,0
0,2.797216479,153.8437687,0
0,3.962601809,154.4832581,0
0,3.430106138,145.7432757,0
1,2.145796402,152.4707775,0
1,3.041210741,137.6916836,0
0,2.977465869,160.1681883,0
0,2.273892658,145.0423321,0
0,2.853865318,139.77623,0
0,2.845922579,149.5416995,0
0,3.41440644,157.2029229,0
1,2.322035609,146.4607007,0
1,1.853988443,154.4900049,0
0,3.516729867,146.4047119,0
1,3.245555611,145.698829,0
0,2.815161365,139.6324758,0
0,3.177425626,145.9146307,0
0,1.696645865,143.6816044,0
1,3.715320494,151.2415396,0
1,2.870652359,136.8131087,0
1,3.275666008,148.103478,0
1,2.563746374,146.6526468,0
0,3.149937974,155.2522611,0
0,2.599173772,148.5058798,0
1,2.288093999,149.492157,0
0,2.702753199,158.1722001,0
1,3.331702589,156.0197619,0
0,2.104541533,155.7826923,0
1,3.292321007,139.1925049,0
1,2.726728366,140.7914711,0
1,1.847949975,141.9819476,0
1,3.983447321,146.3850499,0
1,3.211207111,157.0193128,0
1,2.244127917,146.2132158,0
1,3.820087875,158.2188315,0
0,2.126934169,143.9004873,0
1,3.902471427,157.0550949,0
1,3.002966199,147.6116168,0
1,3.639502101,154.5774269,0
1,2.014635738,154.5091185,0
1,3.375317449,157.111363,0
1,3.607221406,161.5179845,0
0,3.685374292,151.8043568,0
1,3.042027592,147.8764808,0
1,3.198667617,154.3395966,0
1,2.709177376,140.6823803,0
0,3.60052837,146.2066849,0
0,1.757368297,146.773513,0
1,2.455821727,150.1164734,0
0,2.335125397,145.5215841,0
0,2.214619941,145.916455,0
1,2.729017029,148.0636024,0
0,3.004380536,145.3671312,0
0,2.551788635,144.8197172,0
0,2.438396106,158.6238587,0
0,2.850326733,140.4522866,0
1,2.363269645,158.7039715,0
0,2.751274042,147.3398798,0
1,4.140938087,153.1191421,0
0,4.002160573,156.8082707,0
1,2.793676466,143.4697583,0
0,3.749035304,146.8379288,0
1,1.638187536,135.6342348,0
1,3.137656498,145.0772486,0
1,4.0681839,153.7753291,0
0,3.24695037,152.9865887,0
1,3.694017151,152.0954963,0
1,3.213313867,144.5241753,0
1,3.597438263,154.1346706,0
0,2.820514853,149.6085608,0
1,3.269237662,146.4411705,0
1,2.997012633,157.2714104,0
1,2.348500785,151.5715386,0
0,2.506100315,141.8561329,0
0,3.585414091,152.0353027,0
1,1.652522332,125.3920016,0
0,2.744067161,148.5386768,0
1,2.143787611,145.1864906,0
0,3.345146595,161.7663487,0
0,3.282585389,152.4290775,0
1,3.059826835,153.7839015,0
1,3.816102742,156.3320394,0
0,2.325141,150.0130518,0
1,3.810207662,159.7887102,0
0,3.815141243,149.3815896,0
0,2.500915715,157.0816344,0
0,3.016710335,150.3754038,0
0,2.744841127,146.1417415,0
0,3.915220617,161.5673721,0
1,2.725619038,150.2734853,0
0,3.131775265,145.7661655,0
0,2.891465723,139.5700332,0
1,1.38239876,141.4682079,0
1,2.959329715,152.784148,0
1,2.891127069,142.7486571,0
1,2.24529815,134.0585018,0
0,2.411945325,160.7633489,0
0,2.559946825,134.1146212,0
1,2.269176487,151.5425535,0
0,4.073629414,154.7932607,0
1,2.926817669,160.9029461,0
0,3.342121507,142.283848,0
0,4.064167972,156.4717826,0
1,3.085291837,151.7865617,0
0,2.79885605,156.9988211,0
